"","C-1","C-2"
"1",0.397611694354639,0.602781640930495
"2",0.370549822096051,0.602781640930495
"3",0.350598463446781,0.602781640930495
"4",0.339015331858388,0.625830628256878
"5",0.336665276865381,0.569562992797677
"6",0.391168711044108,0.51336150097001
"7",0.44618652164027,0.457250542924779
"8",0.427551643295578,0.401268099585697
"9",0.377958962995372,0.345476651741499
"10",0.384276705918036,0.289986459106636
"11",0.402685426345449,0.336415238160003
"12",0.427834685553742,0.385562288497909
"13",0.46120259001316,0.436510416830668
"14",0.416992538388757,0.414111652928961
"15",0.376108660578199,0.398541814303177
"16",0.352200209620185,0.350554313755568
"17",0.408357910469091,0.394293369837789
"18",0.464615302955104,0.440960537353988
"19",0.431303436832847,0.390147702144
"20",0.403209534584793,0.341151380232705
"21",0.381488141635941,0.381555702847877
"22",0.367271663636197,0.425658599850536
"23",0.361446741420993,0.394268695853717
"24",0.364415995985503,0.426462823809872
"25",0.418796794944877,0.377540800154627
"26",0.396973610631667,0.331064300742391
"27",0.382341915555954,0.374393192437404
"28",0.375742776397982,0.420876412191303
"29",0.384312812924668,0.375641070280008
"30",0.411766193140317,0.333879430446358
"31",0.375499010069035,0.381517441318839
"32",0.344742824647562,0.324959916419096
"33",0.331329693856749,0.268407036912125
"34",0.327278348669524,0.32355411040444
"35",0.332930727893823,0.379120281257455
"36",0.347814062733793,0.343582038124504
"37",0.370818520959079,0.381607304292633
"38",0.361000805032199,0.423791992422373
"39",0.359912192952774,0.439301746673611
"40",0.410310590861139,0.480915102477907
"41",0.423379300049787,0.507154891299119
"42",0.42283269553115,0.492835712466741
"43",0.429796399441289,0.490978304890357
"44",0.375743914828253,0.495613107664958
"45",0.32255547460465,0.506561950141862
"46",0.270740796655407,0.533607548063812
"47",0.254922276356755,0.533607548063812
"48",0.251137718382461,0.498841273384452
"49",0.287635026596061,0.468346257007818
"50",0.329844907777397,0.424507880081576
"51",0.27335452003132,0.384012582149043
"52",0.216904875111941,0.34802928820072
"53",0.249741416193023,0.324796442726907
"54",0.197639169860769,0.310259687521744
"55",0.239144218472904,0.305662262840235
"56",0.285864781921262,0.285950431959351
"57",0.231638551353732,0.276596964776953
"58",0.178869125177149,0.318613726810709
"59",0.228990468807579,0.364586798886277
"60",0.281565454133761,0.32104654118982
"61",0.335442356317963,0.282167024588881
"62",0.283883113162359,0.288694608428102
"63",0.340061552265544,0.305730149589199
"64",0.283571617207599,0.297401051138378
"65",0.227120812605486,0.299706266759285
"66",0.170747953509786,0.276972064380425
"67",0.220670510157424,0.264581185360209
"68",0.273196055132466,0.283007415631892
"69",0.270371592614897,0.310778364269151
"70",0.279223048495969,0.300085729596323
"71",0.29871428270965,0.299866135383445
"72",0.326947906772915,0.350120826569648
"73",0.295023852233496,0.40205657332722
"74",0.271262256542336,0.42335785331315
"75",0.321653171619641,0.372135991398598
"76",0.373815882321798,0.322705004189712
"77",0.320864162842881,0.276028699353004
"78",0.269386910901005,0.233763054194852
"79",0.306858567096897,0.20581786668034
"80",0.259542970946982,0.221595024053386
"81",0.216709315880868,0.249494920852034
"82",0.187516019510048,0.285991392846134
"83",0.172515473637933,0.303999647640853
"84",0.229041307293368,0.330817916652737
"85",0.285584053780386,0.364506792008263
"86",0.24938269963677,0.308004039226705
"87",0.275432760961568,0.251530861283912
"88",0.309733242599478,0.284092698749775
"89",0.349865914542911,0.246406130282128
"90",0.355916377836346,0.21707901872135
"91",0.307229775100652,0.198821578149251
"92",0.261732306325206,0.160030985106782
"93",0.221398880778305,0.123813661177415
"94",0.273970912031265,0.173450202817993
"95",0.327875977321877,0.226362813763121
"96",0.303402553890399,0.280704959852189
"97",0.253806546372182,0.33578330207172
"98",0.207803793583406,0.288502774753165
"99",0.263679132927139,0.24518824686853
"100",0.319798302232607,0.281725994877947
